Chunk Title,Text,Start Offset,End Offset
The Most Drunk Joe Rogan Has Ever Been on a Podcast,in particular but the probably I could,146.25,151.26
The Most Drunk Joe Rogan Has Ever Been on a Podcast,with music the people with the clearest,147.47,153.45
The Most Drunk Joe Rogan Has Ever Been on a Podcast,expression of self are the communicators,151.26,156.14999999999998
The Most Drunk Joe Rogan Has Ever Been on a Podcast,as opposed to this this degree of,153.45,158.64
The Most Drunk Joe Rogan Has Ever Been on a Podcast,achievement and I think that's just a,156.15,161.43
The Most Drunk Joe Rogan Has Ever Been on a Podcast,beautiful and linguistic part of it,158.64,163.349
The Most Drunk Joe Rogan Has Ever Been on a Podcast,mmm-hmm you know it's weird right cuz,161.43,165.69
The Most Drunk Joe Rogan Has Ever Been on a Podcast,sports like I want to dunk on you you,163.349,170.069
The Most Drunk Joe Rogan Has Ever Been on a Podcast,want dunk on me yeah competition is an,165.69,172.19
The Most Drunk Joe Rogan Has Ever Been on a Podcast,interesting thing,170.069,175.13
The Most Drunk Joe Rogan Has Ever Been on a Podcast,I wish I could tell you what's going on,172.19,177.64
The Most Drunk Joe Rogan Has Ever Been on a Podcast,in my body,175.13,177.64
The Most Drunk Joe Rogan Has Ever Been on a Podcast,[Music],180.52,196.22
The Most Drunk Joe Rogan Has Ever Been on a Podcast,you,194.16,196.22
Drunk vs Stoned,"-So you catch them and drop them. -Yeah, I got it.",12.46,15.82
Drunk vs Stoned,Ten...,28.83,29.79
Drunk vs Stoned,Nine... Eight...,30.39,33.04
Drunk vs Stoned,Seven...,33.5,34.64
Drunk vs Stoned,Six... five... four...,35.01,39.05
Drunk vs Stoned,Three... two...,39.65,41.97
Drunk vs Stoned,One...,42.68,43.98
Drunk vs Stoned,Lift it forward and you catch in your legs.,58.34,60.260000000000005
Drunk vs Stoned,Now bring your leg back up and catch with your hands.,62.96,66.32000000000001
Drunk vs Stoned,F**k you...,66.32,67.66999999999999
Drunk vs Stoned,"Hey, Dee. I just wanna like tell you that uhh..",81.65,84.84
Drunk vs Stoned,You mean a lot to everyone that's here. Umm... Happy Birthday. Umm...,84.84,88.88000000000001
Drunk vs Stoned,Dee Just askshmarmdrghm... I wanna be a fire fighter.,88.88,92.25
Drunk vs Stoned,-I was like I'm going to be lawyer. -I wanna get in a fight with fire.,92.25,95.61
Drunk vs Stoned,And I'm going to have a black lab.,95.61,99.32
Drunk vs Stoned,I will go buy ummm... Hanes t-shirts... that I will rub around my hands.,99.32,105.03999999999999
Drunk vs Stoned,They won't burn that f**k quickly. ,105.12,106.72
Drunk vs Stoned,If I knew what being a lawyer... like what... when I was back.,106.72,110.42999999999999
Drunk vs Stoned,Listen!!! I will kick the fire's ass.,110.75,113.34
Drunk vs Stoned,Guaranteed.,114.47,115.48
Drunk vs Stoned,Final Round!,132.85,134.09
Drunk vs Stoned,Goooldman... dolphin cop!,142.67,145.29
Drunk vs Stoned,One thing I didn't even taken into consideration when we were doing this is how f**king hung over I'd be the day after.,157.56,162.61
Drunk vs Stoned,"I feel pretty good, I slept really, really well.",162.61,164.63000000000002
Drunk vs Stoned,"My head hurts, my body hurts.",164.63,167.32
Drunk vs Stoned,I have like a cut on my leg and I have no idea how I got it...Oh my God! haha.,167.32,171.03
Drunk vs Stoned,I woke up this morning and remembered that I had parked my car in a tow away zone and the car got towed.,171.03,176.41
Drunk vs Stoned,Any thing else you want to add? Don't do drugs kids?,176.41,178.77
Drunk vs Stoned,"Yeah, that's a good one.",179.08,180.45000000000002
Drunk vs Stoned,"So I, uh... I think no matter what.. enjoy everything in moderation.",180.79,186.17999999999998
Drunk vs Stoned,and ahh... don't get to a point where you're being an idiot.,186.25,189.21
Drunk vs Stoned,Because... as you can see it really really sucks either way.,189.54,192.57
